Michigan, Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,2.53,0.72
189502,0.83,-0.67
189503,0.74,-1.30
189504,1.17,-1.43
189505,2.57,-0.52
189506,1.63,-1.65
189507,1.39,-1.65
189508,2.89,-0.23
189509,3.56,0.18
189510,0.80,-1.90
189511,2.98,0.41
189512,3.68,1.67
189601,1.50,-0.31
189602,1.03,-0.47
189603,1.37,-0.67
189604,3.02,0.42
189605,3.27,0.18
189606,2.88,-0.40
189607,3.41,0.37
189608,4.18,1.06
189609,4.90,1.52
189610,1.82,-0.88
189611,3.90,1.33
189612,1.00,-1.01
189701,4.11,2.30
189702,1.41,-0.09
189703,2.87,0.83
189704,3.14,0.54
189705,3.04,-0.05
189706,2.52,-0.76
189707,3.47,0.43
189708,1.99,-1.13
189709,1.45,-1.93
189710,2.48,-0.22
189711,2.63,0.06
189712,2.49,0.48
189801,2.69,0.88
189802,2.21,0.71
189803,2.96,0.92
189804,1.61,-0.99
189805,2.64,-0.45
189806,3.68,0.40
189807,1.70,-1.34
189808,2.98,-0.14
189809,2.73,-0.65
189810,4.39,1.69
189811,2.36,-0.21
189812,1.76,-0.25
189901,1.69,-0.12
189902,1.38,-0.12
189903,3.20,1.16
189904,1.57,-1.03
189905,3.78,0.69
189906,3.50,0.22
189907,4.29,1.25
189908,1.46,-1.66
189909,3.08,-0.30
189910,2.96,0.26
189911,1.05,-1.52
189912,2.60,0.59
190001,1.21,-0.60
190002,2.72,1.22
190003,1.68,-0.36
190004,1.80,-0.80
190005,2.43,-0.66
190006,2.87,-0.41
190007,5.21,2.17
190008,3.77,0.65
190009,3.89,0.51
190010,2.84,0.14
190011,3.38,0.81
190012,0.74,-1.27
190101,1.57,-0.24
190102,1.30,-0.20
190103,2.69,0.65
190104,1.27,-1.33
190105,2.43,-0.66
190106,2.55,-0.73
190107,4.34,1.30
190108,2.67,-0.45
190109,2.26,-1.12
190110,3.27,0.57
190111,1.29,-1.28
190112,2.22,0.21
190201,0.84,-0.97
190202,1.07,-0.43
190203,2.44,0.40
190204,1.64,-0.96
190205,3.51,0.42
190206,4.63,1.35
190207,5.05,2.01
190208,1.64,-1.48
190209,3.58,0.20
190210,2.37,-0.33
190211,2.87,0.30
190212,2.22,0.21
190301,1.63,-0.18
190302,2.12,0.62
190303,2.10,0.06
190304,2.77,0.17
190305,3.34,0.25
190306,2.37,-0.91
190307,3.93,0.89
190308,4.55,1.43
190309,3.68,0.30
190310,2.28,-0.42
190311,1.90,-0.67
190312,1.93,-0.08
190401,1.63,-0.18
190402,1.97,0.47
190403,3.13,1.09
190404,2.05,-0.55
190405,3.94,0.85
190406,2.00,-1.28
190407,3.08,0.04
190408,2.96,-0.16
190409,3.64,0.26
190410,2.86,0.16
190411,0.46,-2.11
190412,2.04,0.03
190501,1.77,-0.04
190502,1.44,-0.06
190503,2.12,0.08
190504,1.86,-0.74
190505,4.38,1.29
190506,4.23,0.95
190507,4.29,1.25
190508,2.81,-0.31
190509,3.01,-0.37
190510,2.74,0.04
190511,2.19,-0.38
190512,1.51,-0.50
190601,2.67,0.86
190602,1.51,0.01
190603,2.04,0.00
190604,1.63,-0.97
190605,2.65,-0.44
190606,3.32,0.04
190607,2.65,-0.39
190608,3.03,-0.09
190609,2.53,-0.85
190610,3.21,0.51
190611,3.55,0.98
190612,2.44,0.43
190701,3.24,1.43
190702,0.80,-0.70
190703,2.41,0.37
190704,2.52,-0.08
190705,2.46,-0.63
190706,2.47,-0.81
190707,2.58,-0.46
190708,2.12,-1.00
190709,4.46,1.08
190710,1.48,-1.22
190711,2.22,-0.35
190712,2.48,0.47
190801,1.57,-0.24
190802,3.43,1.93
190803,2.35,0.31
190804,2.37,-0.23
190805,4.64,1.55
190806,2.20,-1.08
190807,3.05,0.01
190808,2.41,-0.71
190809,1.52,-1.86
190810,0.83,-1.87
190811,2.42,-0.15
190812,1.98,-0.03
190901,1.90,0.09
190902,2.58,1.08
190903,1.58,-0.46
190904,4.81,2.21
190905,2.33,-0.76
190906,3.03,-0.25
190907,3.18,0.14
190908,2.04,-1.08
190909,2.10,-1.28
190910,1.48,-1.22
190911,3.52,0.95
190912,3.13,1.12
191001,1.66,-0.15
191002,1.56,0.06
191003,0.26,-1.78
191004,2.86,0.26
191005,2.97,-0.12
191006,1.15,-2.13
191007,2.35,-0.69
191008,3.00,-0.12
191009,2.89,-0.49
191010,2.57,-0.13
191011,2.02,-0.55
191012,1.49,-0.52
191101,1.62,-0.19
191102,1.89,0.39
191103,1.25,-0.79
191104,1.94,-0.66
191105,3.53,0.44
191106,3.04,-0.24
191107,2.84,-0.20
191108,2.86,-0.26
191109,3.69,0.31
191110,4.58,1.88
191111,3.68,1.11
191112,1.96,-0.05
191201,1.73,-0.08
191202,1.31,-0.19
191203,1.02,-1.02
191204,2.19,-0.41
191205,5.69,2.60
191206,1.53,-1.75
191207,4.16,1.12
191208,4.16,1.04
191209,3.27,-0.11
191210,2.39,-0.31
191211,2.65,0.08
191212,1.69,-0.32
191301,1.87,0.06
191302,1.49,-0.01
191303,3.09,1.05
191304,2.40,-0.20
191305,2.57,-0.52
191306,2.28,-1.00
191307,3.13,0.09
191308,2.51,-0.61
191309,2.41,-0.97
191310,3.23,0.53
191311,2.06,-0.51
191312,0.63,-1.38
191401,2.42,0.61
191402,0.92,-0.58
191403,1.46,-0.58
191404,2.74,0.14
191405,3.05,-0.04
191406,3.94,0.66
191407,2.83,-0.21
191408,3.91,0.79
191409,2.10,-1.28
191410,2.06,-0.64
191411,1.96,-0.61
191412,1.56,-0.45
191501,1.41,-0.40
191502,1.84,0.34
191503,0.64,-1.40
191504,1.12,-1.48
191505,2.91,-0.18
191506,3.82,0.54
191507,3.52,0.48
191508,3.71,0.59
191509,4.82,1.44
191510,1.70,-1.00
191511,2.59,0.02
191512,1.54,-0.47
191601,2.91,1.10
191602,1.02,-0.48
191603,2.59,0.55
191604,2.32,-0.28
191605,4.04,0.95
191606,4.95,1.67
191607,1.37,-1.67
191608,2.48,-0.64
191609,3.41,0.03
191610,3.49,0.79
191611,2.21,-0.36
191612,2.06,0.05
191701,1.12,-0.69
191702,0.56,-0.94
191703,1.93,-0.11
191704,2.54,-0.06
191705,2.77,-0.32
191706,4.76,1.48
191707,2.60,-0.44
191708,2.49,-0.63
191709,1.86,-1.52
191710,3.74,1.04
191711,0.82,-1.75
191712,1.15,-0.86
191801,1.39,-0.42
191802,1.92,0.42
191803,1.45,-0.59
191804,1.85,-0.75
191805,4.08,0.99
191806,2.01,-1.27
191807,1.69,-1.35
191808,2.44,-0.68
191809,2.89,-0.49
191810,3.21,0.51
191811,3.04,0.47
191812,2.67,0.66
191901,0.74,-1.07
191902,1.64,0.14
191903,2.46,0.42
191904,3.28,0.68
191905,3.31,0.22
191906,2.34,-0.94
191907,2.45,-0.59
191908,2.34,-0.78
191909,3.15,-0.23
191910,4.20,1.50
191911,2.98,0.41
191912,0.88,-1.13
192001,1.33,-0.48
192002,0.79,-0.71
192003,2.61,0.57
192004,2.84,0.24
192005,1.40,-1.69
192006,4.03,0.75
192007,3.28,0.24
192008,2.72,-0.40
192009,2.50,-0.88
192010,1.74,-0.96
192011,2.47,-0.10
192012,3.12,1.11
192101,0.72,-1.09
192102,0.99,-0.51
192103,3.61,1.57
192104,3.59,0.99
192105,1.95,-1.14
192106,2.18,-1.10
192107,2.84,-0.20
192108,3.95,0.83
192109,3.79,0.41
192110,2.91,0.21
192111,2.51,-0.06
192112,2.51,0.50
192201,1.23,-0.58
